Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Eucalyptus fastigata,-,-,-,-,-,-,-,-,-,-,-,JN573693.1,JN573694.1,JN573695.1,JN573696.1,JN573697.1,JN573698.1,JN573757.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064645.1,-,-,-,-,-,-,-,-,KM064917.1,-,-,-,-,-,KM065205.1,-,-
Eucalyptus ficifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U10663.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus flindersii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084791.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus fraxinoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494747.1,-,-,-,-,-,-,-,-,FJ494716.1,-,-,-,-,-,KM065084.1,-,-
Eucalyptus gamophylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654415.1,-,-,-,-,-,-,-,-,AF390469.1,-,-,-,-,-,-,_R_FJ654360.1,-
Eucalyptus gigantangion,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654390.1,-,-,-,-,-,-,_R_FJ654365.1,-
Eucalyptus gittinsii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654375.1,-,-,-,-,-,-,_R_FJ654344.1,-
Eucalyptus glaucescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM596047.1,-,-,-,-,-,-,-,-
Eucalyptus glaucina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084793.1,-,-,-,-,AF390481.1,-,-,-,-,-,-,-,-
Eucalyptus globoidea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494748.1,-,-,-,-,-,-,-,-,EF051491.1,-,-,-,-,-,KM065147.1,-,-
Eucalyptus globulus,AB591305.1,-,AB591354.1,-,-,-,-,GQ247963.1,HQ287683.1,-,AF034806.1,JN573699.1,JN573700.1,JN573701.1,JN573702.1,JN573703.1,JN573704.1,JN573753.1,-,EF590872.1,AB623008.1,-,AB591276.1,AB591346.1,-,AB368175.1,AB591267.1,AB208710.1,AB591297.1,-,-,-,-,-,-,-,-,-,-,KM064693.1,U10647.1,AB591282.1,AB591255.1,AB591264.1,AF046122.1,-,-,-,U62665.1,-,EF590449.1,EF590617.1,HQ287709.1,EF590815.1,AY521535.1,AY620902.1,EF590530.1
Eucalyptus gomphocephala,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF488231.1,-,-,-,-,-,-,-,JX572572.1
Eucalyptus gongylocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654423.1,-,-,-,-,-,-,-,-,AF390466.1,-,-,-,-,-,-,_R_FJ654355.1,-
Eucalyptus grandis,-,AF159167.1,DQ227992.1,-,-,-,-,-,-,-,AY640313.1,-,EU737101.1,EU737102.1,EU165714.1,EU737104.1,EU737106.1,JN573763.1,-,-,DQ014506.1,-,-,DQ227994.1,-,DQ014507.1,EU165713.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084798.1,-,-,-,-,AF058475.1,-,-,-,AY030273.1,-,-,AF502125.1,AB537496.1
Eucalyptus guilfoylei,-,-,-,-,-,-,-,-,HQ287686.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352532.1,-,-,-,-,-,-,-,-,AF390511.1,-,-,-,HQ287712.1,-,-,-,HQ287600.1
Eucalyptus gunnii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AJ576024.1,-,-,-,-,-,-,-,-,-,-,KM064670.1,-,-,-,-,-,-,-,-,AF058464.1,-,-,-,-,-,KM065287.1,JQ713791.1,-
Eucalyptus haemastoma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494717.1,-,-,-,-,-,AY521536.1,-,-
Eucalyptus haematoxylon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U10660.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus hallii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084801.1,-,-,-,-,AF390512.1,-,-,-,-,-,-,-,-
Eucalyptus houseana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390487.1,-,-,-,-,-,-,-,-
Eucalyptus howittiana,-,-,-,-,-,-,-,-,HQ287687.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF694709.1,-,-,-,HQ287713.1,-,-,-,HQ287601.1
Eucalyptus imlayensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ287602.1
Eucalyptus infera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084803.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus insularis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494749.1,-,-,-,-,-,-,-,-,EF051493.1,-,-,-,-,-,-,-,-
Eucalyptus jacksonii,-,-,-,-,-,-,-,-,HQ287688.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390529.1,-,-,-,HQ287715.1,-,-,-,HQ287603.1
Eucalyptus johnstonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ030106.1,-
Eucalyptus jucunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654420.1,-,-,-,-,-,-,-,-,FJ654379.1,-,-,-,-,-,-,_R_FJ654356.1,-
Eucalyptus kitsoniana,-,-,-,-,-,-,-,-,HQ287689.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF694712.1,-,-,-,HQ287716.1,-,-,-,HQ287604.1
Eucalyptus lacrimans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494750.1,-,-,-,-,-,-,-,-,EF051495.1,-,-,-,-,-,-,-,-
Eucalyptus lansdowneana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058476.1,-,-,-,-,-,-,-,-
Eucalyptus latisinensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390532.1,-,-,-,-,-,-,-,-
Eucalyptus lehmannii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AM235456.1,AM235600.1,AM235528.1,AM235420.1,-,-,-,-,-,-,AM235653.1
Eucalyptus leucophloia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390470.1,-,-,-,-,-,-,-,-
Eucalyptus leucoxylon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064678.1,U10648.1,-,-,-,-,-,-,-,AY388997.1,-,-,-,-,-,KM065155.1,-,-
Eucalyptus ligulata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494751.1,-,-,-,-,-,-,-,-,FJ494718.1,-,-,-,-,-,-,-,-
Eucalyptus lirata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654424.1,-,-,-,-,-,-,-,-,EF581299.1,-,-,-,-,-,-,_R_FJ654361.1,-
Eucalyptus lockyeri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390488.1,-,-,-,-,-,-,-,-
Eucalyptus longifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF488224.1,-,-,-,-,-,-,-,-
Eucalyptus loxophleba,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ170341.1,-,-,HQ170453.1,-,-,-,-,-,-,-,-,HQ170441.1,HQ170405.1,-,_R_HQ170481.1,-,-,-,-,-,-,-,-,-,-,-,-,_R_HQ170417.1,-,HQ995673.1,JF302974.1,-,-,-,-,HQ995677.1,_R_HQ170467.1,-
Eucalyptus lucasii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390494.1,-,-,-,-,-,-,-,-
Eucalyptus macarthurii,-,-,-,-,-,-,-,-,-,-,-,JN573717.1,JN573718.1,JN573719.1,JN573720.1,JN573721.1,JN573722.1,JN573762.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064666.1,-,-,-,-,-,-,-,-,KM064786.1,-,-,-,-,-,KM065243.1,-,-
Eucalyptus maidenii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390474.1,-,-,-,-,-,-,-,-
Eucalyptus major,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084805.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus marginata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ170343.2,-,-,HQ170455.1,-,-,-,-,-,-,-,_R_KC172377.1,HQ170443.1,HQ170407.1,-,HQ170483.1,-,-,-,-,-,FJ494752.1,-,-,-,-,-,-,_R_HQ170420.1,-,AF390530.1,-,-,-,-,-,-,_R_HQ170469.1,-
Eucalyptus megacarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352533.1,-,-,-,-,-,-,-,-,AF390528.1,-,-,-,-,-,KM065184.1,-,-
Eucalyptus melanophloia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JX850036.1,-,-
Eucalyptus melliodora,-,-,-,-,-,-,-,GQ247964.1,-,-,-,-,-,-,-,-,-,-,-,EF590873.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KC817487.1,-,-,-,-,-,-,-,-,AF390514.1,-,EF590450.1,EF590618.1,-,EF590816.1,GQ248127.1,_R_EF590699.1,EF590531.1
Eucalyptus michaeliana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390484.1,-,-,-,-,-,-,-,-
Eucalyptus microcorys,-,-,-,-,-,-,-,-,HQ287691.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352534.1,U10645.1,-,-,-,-,-,-,-,AF390516.1,-,-,-,HQ287718.1,-,KM065080.1,-,HQ287606.1
Eucalyptus microtheca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390515.1,-,-,-,-,-,-,-,-
Eucalyptus miniata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654426.1,-,-,-,-,-,-,-,-,FJ654388.1,-,-,-,-,-,JX850038.1,_R_FJ654363.1,-
Eucalyptus mitchelliana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494753.1,-,-,-,-,-,-,-,-,FJ494720.1,-,-,-,-,-,-,-,-
Eucalyptus moorei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494754.1,-,-,-,-,-,-,-,-,FJ494721.1,-,-,-,-,-,-,-,-
Eucalyptus morrisbyi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM596054.1,-,-,-,-,-,-,AY640047.1,-
Eucalyptus muelleriana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494755.1,U10651.1,-,-,-,-,-,-,-,FJ494722.1,-,-,-,-,-,KM065292.1,-,-
Eucalyptus nicholii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064631.1,-,-,-,-,-,-,-,-,KM064783.1,-,-,-,-,-,KM065088.1,-,-
Eucalyptus nitens,-,AF159171.1,-,-,-,-,-,-,-,-,-,JN573723.1,JN573724.1,JN573725.1,JN573726.1,JN573727.1,JN573728.1,JN573758.1,-,-,-,-,FJ213604.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064637.1,-,-,-,DQ084809.1,-,-,-,-,AF058470.1,JF302975.1,-,-,-,-,HQ995675.1,-,-
Eucalyptus nitida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494756.1,-,-,-,-,-,-,-,-,AF058481.1,-,-,-,-,-,-,-,-
Eucalyptus notabilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084811.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus nudicaulis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ084813.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus obliqua,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064730.1,U16249.1,-,-,-,-,-,-,-,AF058484.1,-,-,-,-,-,KM065065.1,JX187453.1,-
Eucalyptus obtusiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390500.1,-,-,-,-,-,-,-,-
Eucalyptus occidentalis,-,-,-,-,-,-,-,-,-,-,EU573980.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus odontocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654418.1,-,-,-,-,-,-,-,-,FJ654371.1,-,-,-,-,-,-,_R_FJ654354.1,-
Eucalyptus optima,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390508.1,-,-,-,-,-,-,-,-
Eucalyptus ovata,-,-,-,-,-,-,-,-,AF306340.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064675.1,-,-,-,-,-,-,-,-,AF390480.1,-,-,-,AF306331.1,-,KM065063.1,-,-
Eucalyptus pachycalyx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM596058.1,-,-,-,-,-,-,-,-
Eucalyptus pachyloma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494757.1,-,-,-,-,-,-,-,-,FJ494723.1,-,-,-,-,-,-,-,-
Eucalyptus pachyphylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390473.1,-,-,-,-,-,-,-,-
Eucalyptus paliformis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494758.1,-,-,-,-,-,-,-,-,EF051497.1,-,-,-,-,-,-,-,-
Eucalyptus pallida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654414.1,-,-,-,-,-,-,-,-,FJ654373.1,-,-,-,-,-,-,_R_FJ654347.1,-
Eucalyptus paludicola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF488227.1,-,-,-,-,-,-,-,-
Eucalyptus papuana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U10642.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eucalyptus patens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494759.1,-,-,-,-,-,-,-,-,FJ494724.1,-,-,-,-,-,-,-,-
Eucalyptus pauciflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064681.1,-,-,-,-,-,-,-,-,AF058489.1,JF302976.1,-,-,-,-,HQ995678.1,JX187451.1,-
Eucalyptus pellita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390491.1,-,-,-,-,-,-,-,KF496742.1
Eucalyptus perriniana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489907.1,-,-,-,DQ084814.1,-,-,-,-,AF390475.1,-,-,-,-,-,AM489985.1,_R_AM489825.1,-
Eucalyptus petiolaris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY388998.1,-,-,-,-,-,-,-,-
Eucalyptus phoenicea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654427.1,-,-,-,-,-,-,-,-,FJ654391.1,-,-,-,-,-,-,_R_FJ654366.1,-
Eucalyptus pilularis,AB591302.1,-,AB591351.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AB591268.1,-,AB591274.1,AB591343.1,-,AB591273.1,AB591265.1,AB591287.1,AB591294.1,-,-,-,-,-,-,-,-,-,-,FJ494760.1,AF190351.1,AB591280.1,AB591253.1,AB591261.1,AB591258.1,-,-,-,AF190367.1,-,-,-,AF190401.1,-,KM065131.1,_R_AF190384.1,-
Eucalyptus piperita,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF058485.1,-,-,-,-,-,-,-,-
Eucalyptus planchoniana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494761.1,-,-,-,-,-,-,-,-,FJ494725.1,-,-,-,JN392730.1,-,-,-,-
Eucalyptus platydisca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494762.1,-,-,-,-,-,-,-,-,FJ494726.1,-,-,-,-,-,-,-,-
Eucalyptus platyphylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390486.1,-,-,-,-,-,JX850042.1,-,-
Eucalyptus pleurocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ654393.1,-,-,-,-,-,-,_R_FJ654349.1,-
Eucalyptus polyanthemos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390513.1,-,-,-,-,-,-,-,-
Eucalyptus populnea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390495.1,-,-,-,-,-,-,-,-
Eucalyptus porosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM116969.1,-,-,-,-,-,-,-,-
Eucalyptus preissiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FJ494763.1,U10652.1,-,-,-,-,-,-,-,FJ494727.1,-,-,-,-,-,-,-,-
Eucalyptus pseudoglobulus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390478.1,-,-,-,-,-,-,-,-
Eucalyptus pulchella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064649.1,-,-,-,-,-,-,-,-,AF058487.1,-,-,-,-,-,KM065090.1,-,-
Eucalyptus pulverulenta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064648.1,-,-,-,-,-,-,-,-,HM596061.1,-,-,-,-,-,KM065064.1,-,-
Eucalyptus pumila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF488232.1,-,-,-,-,-,-,-,-
